YearMonth,Value,month_number,date,year,month
189806,-0.2133,222,1898-06-01,1898,Jun
189807,-0.244,223,1898-07-01,1898,Jul
189808,-0.2333,224,1898-08-01,1898,Aug
189809,-0.2137,225,1898-09-01,1898,Sep
189810,-0.3287,226,1898-10-01,1898,Oct
189811,-0.2535,227,1898-11-01,1898,Nov
189812,-0.0137,228,1898-12-01,1898,Dec
189901,-0.106,229,1899-01-01,1899,Jan
189902,-0.2858,230,1899-02-01,1899,Feb
189903,-0.2587,231,1899-03-01,1899,Mar
189904,-0.2002,232,1899-04-01,1899,Apr
189905,-0.1395,233,1899-05-01,1899,May
189906,-0.2016,234,1899-06-01,1899,Jun
189907,-0.1317,235,1899-07-01,1899,Jul
189908,-0.066,236,1899-08-01,1899,Aug
189909,-0.0574,237,1899-09-01,1899,Sep
189910,-0.0311,238,1899-10-01,1899,Oct
189911,0.1352,239,1899-11-01,1899,Nov
189912,-0.1704,240,1899-12-01,1899,Dec
190001,-0.2453,241,1900-01-01,1900,Jan
190002,-0.0968,242,1900-02-01,1900,Feb
190003,-0.0457,243,1900-03-01,1900,Mar
190004,-0.0975,244,1900-04-01,1900,Apr
190005,-0.0407,245,1900-05-01,1900,May
190006,-0.0529,246,1900-06-01,1900,Jun
190007,-0.0761,247,1900-07-01,1900,Jul
190008,-0.0733,248,1900-08-01,1900,Aug
190009,-0.0665,249,1900-09-01,1900,Sep
190010,0.0442,250,1900-10-01,1900,Oct
190011,-0.1418,251,1900-11-01,1900,Nov
190012,0.0281,252,1900-12-01,1900,Dec
190101,-0.1267,253,1901-01-01,1901,Jan
190102,-0.08,254,1901-02-01,1901,Feb
190103,-0.0359,255,1901-03-01,1901,Mar
190104,-0.0691,256,1901-04-01,1901,Apr
190105,-0.129,257,1901-05-01,1901,May
190106,-0.1305,258,1901-06-01,1901,Jun
190107,-0.1564,259,1901-07-01,1901,Jul
190108,-0.1362,260,1901-08-01,1901,Aug
190109,-0.211,261,1901-09-01,1901,Sep
190110,-0.2838,262,1901-10-01,1901,Oct
190111,-0.1427,263,1901-11-01,1901,Nov
190112,-0.2427,264,1901-12-01,1901,Dec
190201,-0.0962,265,1902-01-01,1902,Jan
190202,-0.0448,266,1902-02-01,1902,Feb
190203,-0.2062,267,1902-03-01,1902,Mar
190204,-0.2773,268,1902-04-01,1902,Apr
190205,-0.2726,269,1902-05-01,1902,May
190206,-0.3419,270,1902-06-01,1902,Jun
190207,-0.2937,271,1902-07-01,1902,Jul
190208,-0.2725,272,1902-08-01,1902,Aug
190209,-0.2407,273,1902-09-01,1902,Sep
190210,-0.2881,274,1902-10-01,1902,Oct
190211,-0.3477,275,1902-11-01,1902,Nov
190212,-0.3708,276,1902-12-01,1902,Dec
190301,-0.2168,277,1903-01-01,1903,Jan
190302,-0.092,278,1903-02-01,1903,Feb
190303,-0.2847,279,1903-03-01,1903,Mar
190304,-0.3587,280,1903-04-01,1903,Apr
190305,-0.3957,281,1903-05-01,1903,May
190306,-0.3832,282,1903-06-01,1903,Jun
190307,-0.3437,283,1903-07-01,1903,Jul
190308,-0.4403,284,1903-08-01,1903,Aug
190309,-0.3812,285,1903-09-01,1903,Sep
190310,-0.4397,286,1903-10-01,1903,Oct
190311,-0.3963,287,1903-11-01,1903,Nov
190312,-0.3909,288,1903-12-01,1903,Dec
190401,-0.5474,289,1904-01-01,1904,Jan
190402,-0.4728,290,1904-02-01,1904,Feb
190403,-0.5171,291,1904-03-01,1904,Mar
190404,-0.4773,292,1904-04-01,1904,Apr
190405,-0.434,293,1904-05-01,1904,May
190406,-0.4472,294,1904-06-01,1904,Jun
190407,-0.4636,295,1904-07-01,1904,Jul
190408,-0.4357,296,1904-08-01,1904,Aug
190409,-0.4704,297,1904-09-01,1904,Sep
190410,-0.4119,298,1904-10-01,1904,Oct
190411,-0.1742,299,1904-11-01,1904,Nov
190412,-0.2466,300,1904-12-01,1904,Dec
190501,-0.3614,301,1905-01-01,1905,Jan
190502,-0.6248,302,1905-02-01,1905,Feb
190503,-0.4005,303,1905-03-01,1905,Mar
190504,-0.4583,304,1905-04-01,1905,Apr
190505,-0.2966,305,1905-05-01,1905,May
190506,-0.2577,306,1905-06-01,1905,Jun
190507,-0.1983,307,1905-07-01,1905,Jul
190508,-0.2301,308,1905-08-01,1905,Aug
190509,-0.23,309,1905-09-01,1905,Sep
190510,-0.3046,310,1905-10-01,1905,Oct
190511,-0.0972,311,1905-11-01,1905,Nov
190512,-0.1359,312,1905-12-01,1905,Dec
190601,-0.181,313,1906-01-01,1906,Jan
190602,-0.2414,314,1906-02-01,1906,Feb
190603,-0.1534,315,1906-03-01,1906,Mar
190604,-0.0557,316,1906-04-01,1906,Apr
190605,-0.223,317,1906-05-01,1906,May
190606,-0.1813,318,1906-06-01,1906,Jun
190607,-0.2516,319,1906-07-01,1906,Jul
190608,-0.239,320,1906-08-01,1906,Aug
190609,-0.3127,321,1906-09-01,1906,Sep
190610,-0.2869,322,1906-10-01,1906,Oct
190611,-0.3748,323,1906-11-01,1906,Nov
190612,-0.1697,324,1906-12-01,1906,Dec
190701,-0.3488,325,1907-01-01,1907,Jan
190702,-0.4071,326,1907-02-01,1907,Feb
190703,-0.2803,327,1907-03-01,1907,Mar
190704,-0.3518,328,1907-04-01,1907,Apr
190705,-0.4695,329,1907-05-01,1907,May
190706,-0.3764,330,1907-06-01,1907,Jun
190707,-0.3592,331,1907-07-01,1907,Jul
190708,-0.3389,332,1907-08-01,1907,Aug
190709,-0.3463,333,1907-09-01,1907,Sep
